Tabela: 18, Linha: 4, Coluna: 0
Tabela: 18, Linha: 4, Coluna: 1
Tabela: 18, Linha: 4, Coluna: 2
Tabela: 19, Linha: 2, Coluna: 1
Tabela: 19, Linha: 2, Coluna: 2
Tabela: 19, Linha: 2, Coluna: 3
Tabela: 19, Linha: 2, Coluna: 4
Tabela: 19, Linha: 2, Coluna: 5
Tabela: 19, Linha: 3, Coluna: 1
Tabela: 19, Linha: 3, Coluna: 2
Tabela: 19, Linha: 3, Coluna: 3
Tabela: 19, Linha: 3, Coluna: 4
Tabela: 19, Linha: 3, Coluna: 5
Tabela: 20, Linha: 0, Coluna: 1
Tabela: 21, Linha: 1, Coluna: 1
Tabela: 21, Linha: 1, Coluna: 2
Tabela: 21, Linha: 4, Coluna: 0
Tabela: 21, Linha: 4, Coluna: 1
Tabela: 21, Linha: 4, Coluna: 2
Tabela: 21, Linha: 5, Coluna: 0
Tabela: 21, Linha: 5, Coluna: 1
Tabela: 21, Linha: 5, Coluna: 2
