Tabela: <docx.table.Table object at 0x00000289DA513A40>, Linha: 0, Coluna: 0
Tabela: <docx.table.Table object at 0x00000289DA513A40>, Linha: 0, Coluna: 1
Tabela: <docx.table.Table object at 0x00000289DA513A40>, Linha: 0, Coluna: 2
Tabela: <docx.table.Table object at 0x00000289DA513A40>, Linha: 0, Coluna: 3
Tabela: <docx.table.Table object at 0x00000289DA513A40>, Linha: 0, Coluna: 4
Tabela: <docx.table.Table object at 0x00000289DA513A40>, Linha: 0, Coluna: 5
Tabela: <docx.table.Table object at 0x00000289DA513A40>, Linha: 0, Coluna: 6
Tabela: <docx.table.Table object at 0x00000289DA513A40>, Linha: 1, Coluna: 0
Tabela: <docx.table.Table object at 0x00000289DA513A40>, Linha: 1, Coluna: 1
Tabela: <docx.table.Table object at 0x00000289DA513A40>, Linha: 1, Coluna: 2
Tabela: <docx.table.Table object at 0x00000289DA513A40>, Linha: 1, Coluna: 3
Tabela: <docx.table.Table object at 0x00000289DA513A40>, Linha: 1, Coluna: 4
Tabela: <docx.table.Table object at 0x00000289DA513A40>, Linha: 1, Coluna: 5
Tabela: <docx.table.Table object at 0x00000289DA513A40>, Linha: 1, Coluna: 6
Tabela: <docx.table.Table object at 0x00000289DA513A40>, Linha: 2, Coluna: 0
